Name,TP Tier,PRO Tier,Notes,Check other sheets for more (bottom left),,,,,,,,,,,,,,,,,,
kz_pharaoh_csgo,3,4,"Moving blocks, room layout map, easy jumps, lots of skips, CJ skips",,,,,,,,,,,,,,,,,,,
kz_pharos_fix,2,3,"Routing map, easy jumps, can stand on top of ladder (LAJ is faster), most jumps are possible noduck, outside walls are sticky full run ",,,,,,,,,,,,,,,,,,,
kz_phaztec,3,4,"Straight forward map, no bhop blocks, a little perf grindy, some strafe corner skips",,,,,,,,,,,,,,,,,,,
kz_pianoclimb_go,3,5,"Short map with some noduck skips, one medium drop corner near the end, easy to get lost",,,,,,,,,,,,,,,,,,,
kz_piranha,2,2,"Lots of skips, short map, CJ skips towards end",,,,,,,,,,,,,,,,,,,
kz_pixelrun_v2,4,6,"Small skip at the start by running off the edge, pixelsurf first 256 block, two 256 JBs, one JB in the red room full run ",,,,,,,,,,,,,,,,,,,
kz_plains,2,3,"250 block you can wallstrafe at start with lineup, LAJ to 180° to the block (alt ladder slower thats than launch), noduck some blocks for skips",,,,,,,,,,,,,,,,,,,
kz_pollution,5,6,"Bhop-heavy map, drop bhop section (224 block). Surf > drop bhop section can be done with a JB or wallbug to lose less stamina or from the pixel walk > CJ > JB on 2nd bhop block",,,,,,,,,,,,,,,,,,,
kz_portal_fix,5,6,"Hard surf, bhop perf into surf is easiest but LJ is possible too, JB cancel on ladders (skip for 2nd ladder, not possible on a pro run)",,,,,,,,,,,,,,,,,,,
kz_prima,2,3,"Surf up skip at start, easy LJ skip from flat platform to enterance with pillars, all easy jumps ",,,,,,,,,,,,,,,,,,,
kz_prismus,3,4,"Medium difficulty map with many skips, most skips go around corners, end spiral noduck all for best time",,,,,,,,,,,,,,,,,,,
kz_project,4,6,"Pixelwalk on ladder, easy jumps, wallstrafe 240/245 blocks, possible wallbugs on the right side of the 245 block full run ",,,,,,,,,,,,,,,,,,,
kz_prolific ,2,2,"A lot of small skips scattered through the map (CJ, block and surf), skip to chain fence near end",,,,,,,,,,,,,,,,,,,
kz_prototype,7,8,"One hard surf, JBs mid bhop (bhop blocks can be checkpointed on), surf to a pixelsurf grab and a lot of 360 JBs. Surf to pixelsurf lineup // full run ",,,,,,,,,,,,,,,,,,,
kz_psyk,5,7,"Hard LJs, forced left and right pre (mitigated with HSW), buggy walls, weird LAJ, small block skips at the last bhop section",,,,,,,,,,,,,,,,,,,
kz_psytime_go ,4,4,"Three 240 blocks, easy jumps otherwise, skip through headbanger, a lot of noducks outside",,,,,,,,,,,,,,,,,,,
kz_quadrablock,3,6,"Very long map with easy jumps, little skips, feels very repetitive",,,,,,,,,,,,,,,,,,,
kz_quick7_v2,3,5,"Pixelsurf at start, headbanger skip (70+ speed), tricky bhop section (triple perf route is ideal), trigger over part of 256 JB skip (start from back for pre)",,,,,,,,,,,,,,,,,,,
kz_quicksand,5,6,"One sideways LJ near the start that can be JB'd, one medium LJ which requires some good strafing, other LJ is sideways and is kinda hard (do not bind)",,,,,,,,,,,,,,,,,,,
kz_quickshot,2,3,"Short map with many skips, noduck a lot, heavily routed",,,,,,,,,,,,,,,,,,,
kz_quixotic,4,6,"HARD JB skip at start (saves 20s but hasn't been done in a run), dark map with an odd route, one jump is through a tree, medium difficulty jumps",,,,,,,,,,,,,,,,,,,
kz_railings,4,5,"Ducked LAJ, rest of map has some medium corners, pixel walk next to fences near the end",,,,,,,,,,,,,,,,,,,
kz_rainrun_kn_f,3,5,"Annoying route with many skips, headbangers, largest skip",,,,,,,,,,,,,,,,,,,
kz_rcn_impermanence,3,5,"Medium/Hard corner (left side is easier), 240 block prekeep, more prekeep blocks towards end, noduck most for skips",,,,,,,,,,,,,,,,,,,
kz_redemption_csgo,3,5,"Very long map with CJs, 30s skip in large room from crossbar (plekz or JB), a lot of block skips, headbangers all over, forced crouch perf into last room",,,,,,,,,,,,,,,,,,,
kz_redline,2,3,"Medium length map with a lot of CJ and block skips, annoying headbanger section, high block climb wall near end",,,,,,,,,,,,,,,,,,,
kz_remedy_v2,5,6,"A couple of annoying corners, long walk bhop blocks, tedious bhops to hole in floor, 260 JB near end",,,,,,,,,,,,,,,,,,,
kz_retreat,4,7,"VNL routes, medium corners, low pre HSW 240 block or JB, 252 block JB, JB drop on slanted block, hard LAJ around a block w/ a headbanger (can be danvari'ed from the side), surf drops",,,,,,,,,,,,,,,,,,,
kz_rise,4,6,"Unique trigger blocks that boost you upwards (small boost on yellow and big on red), almost no skips, most time is saved on the LJ/JB and drop LJ/JB/Bhop",,,,,,,,,,,,,,,,,,,
kz_rockclimb,3,4,"Medium length map with some difficult jumps, LJ drop, headbanger windows, forced CJ turns",,,,,,,,,,,,,,,,,,,
kz_rockjungle_v2,5,6,"Climb and bhop map, bhops are walkable, easy ladders, narrow bhop hallway, 255 block at the end",,,,,,,,,,,,,,,,,,,
kz_rocks_global,2,3,"A lot of block skips, no hard jumps, water section, crouched tunnel",,,,,,,,,,,,,,,,,,,
kz_roman,6,7,"Forced perf section, walks, very precise ladder pixel walk (mouse angle: 48.5 -50.0 + walk and spam CP) hard jumps",,,,,,,,,,,,,,,,,,,
kz_ronja,2,2,"Short climb map, easy jumps and ladders",,,,,,,,,,,,,,,,,,,
kz_rumzor  ,5,6,"Pixelwalk on almost all ladders (mouse angle: 38 + walk or crouch), 240 blocks, little skips, hard LAJ lineup (from top right corner of ladder) ",,,,,,,,,,,,,,,,,,,
kz_rush2suck,3,4,"Short-ish map with easy jumps but a lot of micro, one medium/hard corner block skips, noducks",,,,,,,,,,,,,,,,,,,
kz_sanctuary,2,3,"Long map with tons of skips, lots of noduck and CJ skips throughout the map, some ice textures",,,,,,,,,,,,,,,,,,,
kz_sandstone_mq,2,3,"Short map with many noducks and skips, invisible blocks below headbangers Pixel surf skip at the start for WR ",,,,,,,,,,,,,,,,,,,
kz_sandyhill_hoc,2,4,"Long map with many skips, some teleporters and hard strafey skips, lots of CJs, route before running",,,,,,,,,,,,,,,,,,,
kz_serenity,4,6,"Fake 250 block (245 block), pixelwalk on ladder, 240 & 238 block, square blocks are bhops, fake 260 block (255 block), 240 at the end, pixelsurf skip at end (low stamina to lowjump)",,,,,,,,,,,,,,,,,,,
kz_shaft_fix,2,2,"Easy map, skip 240 and 256 with route behind, headbanger at end ",,,,,,,,,,,,,,,,,,,
kz_shortcut_tx,3,4,"Walk bhops w/ very fast triggers (Lewly tech), start and end of the surf are standable",,,,,,,,,,,,,,,,,,,
kz_signs_v2,3,4,"Medium length map with lots of pixelsurfs and skips, some CJs, noducks ",,,,,,,,,,,,,,,,,,,
kz_silk,4,4,Micro map with 2 boosters that require decent strafing,,,,,,,,,,,,,,,,,,,
kz_simplicity_v2,2,3,"Easy jumps with a lot of CJs and noducks, small skips, lots of ledgegrabs",,,,,,,,,,,,,,,,,,,
kz_skytower,6,7,"Lengthy map (~20mins), hard wallstrafe or hard wallstrafe w/ JB (get 0.0 edge with edge tech), 250 block, bhops are walkable ",,,,,,,,,,,,,,,,,,,
kz_slide_bozo ,5,8,"Surf ups > BHs, hard surfs in general, one very hard surf off the side of the ladder , double surfs near the end. hardest surf CHEESED ",,,,,,,,,,,,,,,,,,,
kz_sloth,2,2,"Micro map, ledgegrabs, one medium drop, a lot of block skips",,,,,,,,,,,,,,,,,,,
kz_slumpfrageous,5,7,"Surf up at start, make sure you prioritze height over speed on first surf, lots of CJs and noduck skips, wallstrafe into a little flick for last surf, end surfs stay high, surfs ",,,,,,,,,,,,,,,,,,,
kz_smallmap,6,8,"Hard bhop map, LAJ to surf > double perf > cperf, low pre LJ (can be wallstrafed), medium drop, 247 block at the end",,,,,,,,,,,,,,,,,,,
kz_smb ,2,3,Short micro map with mostly very easy jumps. One drop that requires minimal strafing,,,,,,,,,,,,,,,,,,,
kz_snowman_v2,3,4,"Crouched LAJs - make sure to go to the top and crouch to get more height, lots of skips and a CJ room, noducks",,,,,,,,,,,,,,,,,,,
kz_something ,2,2,Short micro map with very easy jumps. One hard LJ drop skip near the end (drop LJ),,,,,,,,,,,,,,,,,,,
kz_sonder,3,3,"Easy map, LAJ to a small block (high), some medium LJs, an easy surf, lots of ledgegrabs, 240 block, little skips, full run",,,,,,,,,,,,,,,,,,,
kz_souljaboy,3,4,"Medium surfs (keep height), surf ups, easy LAJs, one medium LAJ at the end, two JB skips to skip surf up",,,,,,,,,,,,,,,,,,,
kz_sp1_aoirobhop,6,6,"Hard bhop walks/forced perfs, 248 block, one hard corner (LJ or JB)",,,,,,,,,,,,,,,,,,,
kz_sp1_blueconcrete,7,9,"~245 block, very hard surf, very hard corner, pixel walk on most surfs, 256 block. Turn fast and into the block for the corner. Get a good entry and keep your height for the surf",,,,,,,,,,,,,,,,,,,
kz_sp1_castaway,5,7,"Headbangers and routing, 256 block JB, ladder at end, prekeep LJ, CJ slide up ",,,,,,,,,,,,,,,,,,,
kz_sp1_greenconcrete,5,8,"A lot of HSW LJs (one hard-ish near the start), some medium JBs, medium corners",,,,,,,,,,,,,,,,,,,
kz_sp1_greyconcrete,5,7,"One hard corner, surf ups, medium corners",,,,,,,,,,,,,,,,,,,
kz_sp1_greyhollowrock,3,3,"240 block towards the start, the rest are easy jumps, one medium LJ, easy surf ups, can stand on surf ramp",,,,,,,,,,,,,,,,,,,
kz_sp1_kansopyon,4,4,"Narrow bhop hallway, three hard surf ups (can pixel climb), no forced perfs in bhop sections surf up with JB + skip ",,,,,,,,,,,,,,,,,,,
kz_sp1_kyuubisroom,2,2,"Very short map with easy jumps, CJ and noduck skips, one headbanger towards end that can be CJ'd out of to save time",,,,,,,,,,,,,,,,,,,
kz_sp1_parallelblocks,4,5,"Confusing routing, can stand on surfs, prekeep to surf, standable pixel on 2nd wooden beam from surf, medium corner, low pre 232 block, boxtech",,,,,,,,,,,,,,,,,,,
kz_sp1_perf2win,6,8,"JB around corner, climb up surfs, crouch perf to go under headbangers, one medium hard LJ, confusing route, medium LJ > surf",,,,,,,,,,,,,,,,,,,
kz_sp1_redbrickbhop,3,3,"Easily walkable bhop blocks with some medium walks, long bhop sections",,,,,,,,,,,,,,,,,,,
kz_sp1_redconcrete,6,7,"Low pre 240 block (wallstrafe or JB from previous block), hard corners, medium/hard left pre drop last hard corner  ",,,,,,,,,,,,,,,,,,,
kz_sp1_rengapyon  ,6,8,"Very hard bhop map with perfs and JBs mid bhop, standable ladders and surfs, pixelsurf skip all 256 blocks (right or left side) and some bhops",,,,,,,,,,,,,,,,,,,
kz_sp1_rockcanyonblocks,4,4,"Mostly easy jumps, annoying routing, 256 JB block, boxtech",,,,,,,,,,,,,,,,,,,
kz_sp1_saishuu ,7,9,"Very long map (~3-5 hrs), very hard and precise corners, JBs, 240 block super low pre (360 JB) full run twitch VOD ",,,,,,,,,,,,,,,,,,,
kz_sp1_shouryokou ,4,6,"Breakable wood, low pre LJs, corners, all climb, surf ups",,,,,,,,,,,,,,,,,,,
kz_sp1_siedlungclimb,4,5,"Long map with easy LJs and ledgegrabs, easy surfs and a small surf up at end",,,,,,,,,,,,,,,,,,,
kz_sp1_spreadblocks,6,6,"Main course is in the middle (timer in the water), all climb, one very hard corner ",,,,,,,,,,,,,,,,,,,
kz_sp1_uchuunookuheki ,4,4,"Lots of walking, surfs, 1 hard corners, headbangers and confusing route (go hard left when you drop)",,,,,,,,,,,,,,,,,,,
kz_sp1_whiteblocks,4,6,"Confusing route, medium corners, hard surf (balance speed and height), plekz or LJ to the broken bar, 256 block JB, easy LAJs, long surf up at end to timer",,,,,,,,,,,,,,,,,,,
kz_sp1_xmas2021,5,7,"Ice prekeeps everywhere, speed cancel on small surfs to stand, hard surf, hard ice prekeep, climb surf or skip, medium drop, fake 250 (248), max height upwards LAJ",,,,,,,,,,,,,,,,,,,
kz_spacus,4,5,"Medium headbanger LJ near the start, High LJ (144 unit 64 height), headbangers, pixel climbs on surf ups",,,,,,,,,,,,,,,,,,,
kz_spire,4,5,"LJ based maps with easy jumps, some medium headbanger jumps that require early crouching",,,,,,,,,,,,,,,,,,,
kz_spiritblockv2,2,3,"Short map with many CJ skips and noducks, forced perf on window (can skip by crouching through), check for route",,,,,,,,,,,,,,,,,,,
kz_splopkopsc_loverick,3,3,"Headbanger at start, bhop section after LAJ (can use Lewly tech but it's far slower), two routes after wall climb (surf is fastest but hard), full run",,,,,,,,,,,,,,,,,,,
kz_sqrdsucks,4,5,"Pace based map with light micro and a lot of possible noducks, some CJs, one medium/hard corner",,,,,,,,,,,,,,,,,,,
kz_stepblock,4,6,"LJ based map with multiple routes to choose from, ladder skip at end, first section is the hardest on pro",,,,,,,,,,,,,,,,,,,
kz_stepup,3,5,"Ladder skip, get on side of ladder then jump off from high up, pixelsurf on left side of one room, easy booster at end, ice textures (360° prekeep)",,,,,,,,,,,,,,,,,,,
kz_streetblock,3,3,"Medium length map (~5mins), wallstrafe to skip tunnel part, big drop skip after ladder to the platform at the bottom (good strafes required w/o JB)",,,,,,,,,,,,,,,,,,,
kz_structures,5,8,"Forced perf to 2nd big bhop block, JB drop (perf or lowjump > JB), two forced perf sections (walkable but very fast triggers)",,,,,,,,,,,,,,,,,,,
kz_strun_mq,7,8,"Very hard bhop section with forced perfs/JB, JB/LJ into surf up and then onto a pixel, bhop walks, medium bhops at the end",,,,,,,,,,,,,,,,,,,
kz_stuff_final,3,4,"Short map with backwards ladder (can pixelwalk), annoying headbanger, 245 block",,,,,,,,,,,,,,,,,,,
kz_sukblock_v2_fixed,2,3,"Medium length map with many CJ skips, noduck some blocks as well",,,,,,,,,,,,,,,,,,,
kz_summercliff2_go,2,3,"Medium length map with CJ skips and noducks, surf skip as well, fast ladder at end, some strafe heavy skips",,,,,,,,,,,,,,,,,,,
kz_sunstone,6,6,"Mostly easy jumps, easy/medium drops, forced JB on drop (CJ > JB), each bhop section has a forced perf/JB (trigger is high for last bhop section's landing), 240 block at the end",,,,,,,,,,,,,,,,,,,
kz_symbiosis_final,6,7,"All-bhop map with a very difficult last room, walks are very short (get high velocity for prekeep)",,,,,,,,,,,,,,,,,,,
kz_symmetry,3,4,"Easy map, crouch surfs, fast turns, 240 blocks, you can skip most of the hard corners near the start",,,,,,,,,,,,,,,,,,,
kz_synergy_ez,6,7,"Drop 256 (use double JB, stamina loss tech or 180° JB from rehop), 248 block, multiple lengthy bhop sections, one LJ skip towards the end",,,,,,,,,,,,,,,,,,,
kz_sz_goldenbean,4,6,"Basically kz_giantbean but harder, prekeep on to a block to get up to the next one or pixelclimb > LJ, one 256 JB",,,,,,,,,,,,,,,,,,,
kz_terablock,2,2,"Block map with tons of CJ skips and noduck parts, hard to route properly, headbangers at end",,,,,,,,,,,,,,,,,,,
kz_thinkblock,5,6,"One medium LJ around a corner, another low pre LJ around a corner ",,,,,,,,,,,,,,,,,,,
kz_timescape_zero,8,9,"360° JB or LJ, hard LAJ or ladder glide, hard drop LJ (or 360° JB), CPs on booster blocks, 360°/180° JB around corner (LJ > JB is better), hard corner",,,,,,,,,,,,,,,,,,,
kz_tmnf_e05  ,5,7,"Map can be cheesed with teleports/checkpoints (see video). Very long map on PRO (~1.5-2 hrs). If you fall on PRO it takes a LONG time to recover, if you bump into no speed gain section your run is dead. Bump into the sides of the track to turn/skip with high velocity",,,,,,,,,,,,,,,,,,,
kz_tomb_fix,1,1,"Very short map with little skips, pixelwalk on surf (speed cancel), full run ",,,,,,,,,,,,,,,,,,,
kz_toonadventure_go,3,6,"Long map with some skips, some CJs, some annoying low pre jumps",,,,,,,,,,,,,,,,,,,
kz_toonrun_final,6,7,"Hard drop 256 JB (double JB, 180° JB), pixelwalk the surf to skip a JB, go down into water, one JB on the big surf has a turn (256), weird head bangers at the end",,,,,,,,,,,,,,,,,,,
kz_toughluck_fix,1,2,"Short map with many skips, keep moving forwards to save time, one large skip on last part, noducks",,,,,,,,,,,,,,,,,,,
kz_tour_de_nuke_rt,3,4,"Very short map with jumps from the original CS:GO de_nuke, full run ",,,,,,,,,,,,,,,,,,,
kz_tq,7,8,"Very hard bhop map, lewly tech works (use CPs), VERY hard surf that can be done multiple ways but JB'ing into it seems easier ",,,,,,,,,,,,,,,,,,,
kz_tradeblock_go,2,4,"Stage climb map (goes up), tons of CJ skips and noducks, spikes",,,,,,,,,,,,,,,,,,,
kz_tranquillity ,4,5,"Short climb map, 1 medium hard drop LJ that can be pre kept, medium LJ near the end, surf up at the end",,,,,,,,,,,,,,,,,,,
kz_tron_global,4,5,"Medium length map with invisible block jumps, go on top of red part to skip headbanger, water sections, 180° drops, noducks and small skips",,,,,,,,,,,,,,,,,,,
kz_twiivo,2,4,"Short map that is full of micro, lots of ledgegrabing and little skips, some noducks",,,,,,,,,,,,,,,,,,,
kz_unity_collab,5,6,"Some medium strafe jumps, 240 and 242 block, you get lost easily, walk the bhop blocks, 180° JB towards end",,,,,,,,,,,,,,,,,,,
kz_unknownspace,5,6,"Prekeep, 240 block low pre HSW, hard corner",,,,,,,,,,,,,,,,,,,
kz_vci_apprentice,5,6,"A few easy JBs, most bhops are medium length walks and easy to CP on, hard bhop section (very hard to CP in this section and walks are very short)",,,,,,,,,,,,,,,,,,,
kz_victoria,3,3,Short map with many CJs and drops. Some drop skips are really strafe heavy. One medium LJ at the end,,,,,,,,,,,,,,,,,,,
kz_village,3,5,"Pixelwalk on the surf (easier to get the pixel walk near the end of the ramp), LAJ from last ladder to top of last surf",,,,,,,,,,,,,,,,,,,
kz_violet_fix,3,5,"Two 245 blocks, easy jumps otherwise",,,,,,,,,,,,,,,,,,,
kz_vittu_mika_persse ,6,9,"240 blocks that can be prekeep'd, hard LJ to elevated platform, hard corner, fast climb LAJ > wallstrafe, hard 243 low pre block, 180° JBs ",,,,,,,,,,,,,,,,,,,
kz_vnl_crimdaddy ,6,7,"A lot of forced ladder glides, bhop walks, hard low pre LJ (easier with 360 JB), forced 270 JB, climbing",,,,,,,,,,,,,,,,,,,
kz_vnl_crimdaughter  ,6,7,"Hard corners (pre keep corners), pre keeps, drop LJs and low pre LJs, many alt routes and some skips full run ",,,,,,,,,,,,,,,,,,,
kz_vnl_crimson  ,7,8,"AVG length ~20 mins to many hours. Heavy on ladder glides, corners, bhops and JBs all ladders ",,,,,,,,,,,,,,,,,,,
kz_vnl_crimstmas,5,6,"Bhop walks at the start, medium drop LJs, ice section (pre keep from the very beginning to get more pre), light headbanger",,,,,,,,,,,,,,,,,,,
kz_void,4,5,"Pixelwalk on ladder (mouse angle: 48.5 41.7 w/ +walk), alt tech for pixel walk ladder, 240 block, small block skips, headbanger jumps, easy LJs, triggers are based on the room you're in",,,,,,,,,,,,,,,,,,,
kz_warehouse,3,4,"CJs at start, huge skip (crouch at top of jump), pixelwalk on corner, easy ladders, annoying turns to small ledges on pillar (walk pre), 235 block at end",,,,,,,,,,,,,,,,,,,
kz_wasabi,5,6,"Medium length map with easy jumps and noduck + CJ skips, four annoying difficulty LJs, one drop that can be JB'd or bhopped, 66 height jump at end",,,,,,,,,,,,,,,,,,,
kz_waterhole,5,7,"Hard ladder (LAJ > wallstrafe, also can be LAJ'd but insanely hard), medium bhop section, JB drop, skip one JB near the end by going left",,,,,,,,,,,,,,,,,,,
kz_weebfactory_censored,4,4,"Short map with bad lighting, light micro, block skips, annoying time save, 248 block (LJ or JB)",,,,,,,,,,,,,,,,,,,
kz_weightless,3,3,"Surf up at start, fast climb ladder (use a Ladder Boost), low grav boosters, drop LJ > surf for a time save, can use the last surf to gain a lot of speed",,,,,,,,,,,,,,,,,,,
kz_whatever_v2,7,7,"Long map with themed sections, 272 block, 2 hard LJ/JB/bhop drops hard jumps",,,,,,,,,,,,,,,,,,,
kz_whereyoufrom,8,9,"Hard surf off a ladder pixelwalk, surf up LJ off ladder pixel walk, hard LAJ (danvari on the side > LAJ, get ~133 pre), pixelwalk is on every ladder except the hard LAJ",,,,,,,,,,,,,,,,,,,
kz_winterize  ,8,9,"JB around corner, insanely RNG bhops, x2 256 blocks in a row mid bhops, corners, hard drop LJs",,,,,,,,,,,,,,,,,,,
kz_woodstock_v2,3,4,"Easy short map, most time saves are noducks, very few block skips, route heavy",,,,,,,,,,,,,,,,,,,
kz_woodstonegrass_final,2,3,"Easy map with many noducks and small skips, stand on top of ladder and CJ up, 180° surf ups, 240 block at the end",,,,,,,,,,,,,,,,,,,
kz_woodworld,3,6,"Ledgegrabs, crouch jumps and corners, boosted water strafing section (walls are TP triggers) full run",,,,,,,,,,,,,,,,,,,
kz_xand,1,1,"Long map with many skips and noducks, lots of CJs, all easy jumps",,,,,,,,,,,,,,,,,,,
kz_xmas2008,1,2,Very short map with a lot of micro optimization,,,,,,,,,,,,,,,,,,,
kz_xmas2009,4,5,"Short map with fast bhop triggers, small skips on LJ sections, perf grind or walk",,,,,,,,,,,,,,,,,,,
kz_xmas2020,4,5,"Gift boxes are bhops, forced perfs, hard walks and climbing",,,,,,,,,,,,,,,,,,,
kz_xmas2022  ,3,3,"You just run most of the map, one strafey drop near the start, candy cane skip (pre keep) or candy cane jumps (easier route)",,,,,,,,,,,,,,,,,,,
kz_xtremeblock_v2,4,5,"Medium length map (~10mins) with easy LJs, lots of skips and routes, hard/medium corners",,,,,,,,,,,,,,,,,,,
kz_yes,5,6,"Bhop-heavy map which you can CP on, 256 and 260 JBs, medium/hard drop LJs, 256 block skip to stairs, LJ blocks at end are cheeseable from pillar steps",,,,,,,,,,,,,,,,,,,
kz_za_tileblock ,5,6,"Hard headbanger left pre jump, you can JB from block before some techs ",,,,,,,,,,,,,,,,,,,
kz_ziggurath_final,8,9,"LAJ to a pixelsurf grab, bhops and a lot of JB blocks, JB off booster with a headbanger (useful pixelwalk in the bottom left corner of the block right next to the first booster), hard drop LAJ ",,,,,,,,,,,,,,,,,,,
kz_zxp_final4,8,9,"Very RNG bhop section, bhop section (walk > good jb), booster trick on second booster ladder. User danvari tech on hard LAJ > bhop section",,,,,,,,,,,,,,,,,,,
kzpro_justrun_sp,N/A,5,"You cannot TP or stop on blocks, JB/perf the drop or hard LJ, medium LJ towards end, crouch headbanger part",,,,,,,,,,,,,,,,,,,
vnl_cat,4,5,"Mode check at start, medium corners, medium LJs and surfs, wallstrafe headbanger drop, big CJ skip full run ",,,,,,,,,,,,,,,,,,,
vnl_caverun ,4,4,"Stamina map, jump a lot to decrease stamina for first section, start spamming jump and ledge grab at the end, grabbing ladder at the end on contact might get you stuck sometimes (late grab to fix)",,,,,,,,,,,,,,,,,,,
vnl_farewell_fix,6,7,"Lots of bhop walks, big drop LJ, multiple LAGs, 246 forced LJ, LAG mid bhop ",,,,,,,,,,,,,,,,,,,
vnl_invasion ,4,6,"big trigger skip // Single jump bhops, easy box tech, get on the side of ladder after the surf, skip, top of ladder vesq tech (hold fast climb and do single scroll ticks), 240 pre drop at the end",,,,,,,,,,,,,,,,,,,
vnl_lea ,3,3,Medium length micro map with lots of ledge grabs and a lot of ladder gameplay (ladders are non-standable),,,,,,,,,,,,,,,,,,,
vnl_ll_nuke ,3,3,"Very short map, 1 medium corner towards the end",,,,,,,,,,,,,,,,,,,
vnl_oy_lj,7,7,"JB cancels are still possible, 230-250 blocks (anti-bhops on the higher blocks), hard LJ drop, prekeep, surf up, map showcase",,,,,,,,,,,,,,,,,,,
vnl_sewers  ,8,9,"Currently the hardest skill based VNL map. This map will test any player's endurance and skill - crazy LJs, bhops, corners, and ladders (previously known as vnl_sewage)",,,,,,,,,,,,,,,,,,,
vnl_simplebrickrooms,6,8,"Strafe heavy jumps, medium/hard corners, hard surf up, vesq tech + crouch on ladder, very hard low pre 232 block, side LAJ, 244 block (wallstrafe), box tech, surfs, CJ slideup ",,,,,,,,,,,,,,,,,,,
vnl_slidegarden,3,4,"All kinds of surfs, surf combos and surf ups, get max height for last surf, fast climb surfs in the corners where two ramps meet",,,,,,,,,,,,,,,,,,,
vnl_undefined,3,5,"Long walks on bhops, medium LJs, a couple of CJ skips, hard drop LAJ around a corner, LAJ off the side of the third ladder, 240 block at the end",,,,,,,,,,,,,,,,,,,
vnl_whiterun,1,1,Short easy map with ledgegrabs and a lot of block skips,,,,,,,,,,,,,,,,,,,
xc_alt_nephilim ,6,6,"268 block off bottom of surf, easy jumps otherwise, some blocks look like bhops but they are not, pixel walk on ladders",,,,,,,,,,,,,,,,,,,
xc_cliffjump_fix,2,3,"Easy LJ map with some ladders, route the drop at end (you can land on the timer)",,,,,,,,,,,,,,,,,,,
xc_dreamland2,4,6,"Medium length map with easy jumps, annoying jumps, 180° drop, CJ corner at end, little skips",,,,,,,,,,,,,,,,,,,
xc_dtt_nasty_go,1,2,"Cave map with some very light micro and small CJ skips, two very small LJ blocks at the end full run",,,,,,,,,,,,,,,,,,,
xc_fox_shrine_japan_fr,4,6,"256 JB block, 245 block, headbangers, annoying CJs full run ",,,,,,,,,,,,,,,,,,,
xc_karo4,2,4,"Easy map with little skips, lots of CJs so stamina goes bad, boosters, drops",,,,,,,,,,,,,,,,,,,
xc_minecraft2_global,3,5,"Lots of big skips with using water, nobind some jumps to not hit head, CJs, medium LJs",,,,,,,,,,,,,,,,,,,
xc_minecraft3_global,5,8,"Very annoying buttons, one big skip on nether level (CJ to ladder)",,,,,,,,,,,,,,,,,,,
xc_minecraft4,6,8,"Two hard corners (one at the start, one in the middle), you can LJ most, easy ladders, CJ to ladder skip, ice blocks, buttons (easier than xc_minecraft3_global)",,,,,,,,,,,,,,,,,,,
xc_powerblock_rc1,3,4,"Old VNL map with small skips, huge bridge skip at top of ladder with a JB, pixelwalk on surf to save time, route the end, 240 block at end",,,,,,,,,,,,,,,,,,,
xc_secret_valley_global_fix,3,5,"Dark map with water, some spikes, annoying ladders, water jump, CJs, micro and noducks in the end room",,,,,,,,,,,,,,,,,,,
xc_skycastle,2,3,"Short map with lots of skips, some CJs and strafe heavy skips, route the inside of the castle to save most time, noducks",,,,,,,,,,,,,,,,,,,
xc_supermario_go_gfix,2,4,"Very long and easy map with little skips, large pixelsurf in big room, lots of CJs, green vines are ladders",,,,,,,,,,,,,,,,,,,
xc_umbrella_global,4,6,"Medium corners, weird route, lights in last room are ice blocks, watch !replay if you don't know where to go",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
